emp_no,first_name,last_name,to_date
10272,Yishai,Cannane,9999-01-01
10278,Lubomir,Nitsch,1997-02-14
10281,Moty,Kusakari,9999-01-01
10282,Hercules,Benzmuller,9999-01-01
10283,Kauko,Birjandi,9999-01-01
10284,Masali,Murrill,9999-01-01
10286,Saddek,Gopalakrishnan,1999-01-24
10294,Rutger,Miara,1999-05-04
10295,Kristine,Velardi,9999-01-01
10298,Dietrich,DuCasse,9999-01-01
10302,Faiza,Baer,1999-11-09
10305,Hirochika,Piancastelli,1992-06-02
10306,Heng,Kilgour,9999-01-01
10307,Nikolaos,Leaver,9999-01-01
10321,Guenter,Ravishankar,1999-08-14
10322,Isamu,Dahlbom,9999-01-01
10325,Arunachalam,Badr,9999-01-01
10326,Masali,Czap,9999-01-01
10327,Roded,Facello,1993-05-22
10328,Serenella,Kawashima,9999-01-01
10333,Snehasis,Dymetman,9999-01-01
10340,Djelloul,Laventhal,9999-01-01
10343,Dinah,Syrzycki,9999-01-01
10347,Pradeep,Kaminger,9999-01-01
10349,Oksana,Brodie,9999-01-01
10350,Kristen,Kavvadias,1998-01-16
10353,Phule,Hammerschmidt,9999-01-01
10355,Satyanarayana,Cochrane,9999-01-01
10356,Vasilis,Standera,9999-01-01
10358,Qunsheng,Tagansky,9999-01-01
10363,Toshiki,Muniz,1993-02-12
10364,Nakhoon,Dengi,9999-01-01
10367,Hyuckchul,Gini,9999-01-01
10372,Anneli,Frijda,9999-01-01
10374,Willard,Rosin,1996-03-29
10377,Marl,Grospietsch,9999-01-01
10382,Shirish,Dredge,2000-10-27
10387,Parto,Wrigley,9999-01-01
10388,Hironoby,Kaiser,9999-01-01
10389,Make,Peir,9999-01-01
10395,Takahiro,Deverell,2001-08-13
10396,Sibyl,Rahier,9999-01-01
10397,Irena,Reutenauer,9999-01-01
10402,Volkmar,Ebeling,9999-01-01
10404,Prodip,Rosti,9999-01-01
10407,Ulf,Siepmann,9999-01-01
10413,Danel,Impagliazzo,9999-01-01
10414,Yinlin,Alpin,1994-12-02
10418,Candida,Porotnikoff,9999-01-01
10422,Greger,Rubsam,9999-01-01
10426,Arunas,Luce,9999-01-01
10429,Martien,Improta,9999-01-01
10432,Hisao,Tiemann,9999-01-01
10433,Reuven,Dengi,9999-01-01
10442,Volkmar,Unno,2001-03-13
10443,Shichao,Litvinov,2002-07-06
10451,Bodh,Ranta,9999-01-01
10453,Tsvetan,Matzel,9999-01-01
10463,Ung,Zaiane,9999-01-01
10466,Jiakeng,Himler,2000-08-15
10477,Guoxiang,Trogemann,9999-01-01
10486,Amstein,Kossowski,9999-01-01
10494,Yakkov,Servieres,9999-01-01
10497,Pramod,Rabehasaina,9999-01-01
10499,Maik,Luft,9999-01-01
10503,Dannz,Pell,9999-01-01
10504,Xiong,Varker,9999-01-01
10509,Abdelwaheb,Riesenhuber,9999-01-01
10512,Udi,Gihr,9999-01-01
10517,Tiina,Speek,9999-01-01
10519,Yonghoan,Alencar,2001-10-13
10522,Marke,Cesareni,9999-01-01
10529,Ymte,Yetto,9999-01-01
10531,Oguz,Gimbel,9999-01-01
10538,Przemyslawa,Falby,1998-12-13
10541,Godehard,Eiter,1986-10-01
10542,Yannis,Couchot,9999-01-01
10548,Ramalingam,Gunderson,9999-01-01
10552,Kazuhito,Shiratori,9999-01-01
10564,Jianhao,Thisen,9999-01-01
10568,Gao,Poulakidas,9999-01-01
10575,Theirry,Yeung,2000-11-22
10586,Kirk,Vuskovic,9999-01-01
10591,Hidde,Hettesheimer,1988-09-20
10593,Falguni,Kenevan,9999-01-01
10596,Sanjit,Coors,9999-01-01
10603,Wayne,Restivo,9999-01-01
10608,Adhemar,Talmor,1991-06-02
10610,Irena,Roccetti,9999-01-01
10614,Gila,Ozeri,9999-01-01
10615,Keung,Delgrande,9999-01-01
10617,Hidekazu,Angel,2001-10-03
10623,Aleksander,Danlos,9999-01-01
10624,Sham,Gyorkos,9999-01-01
10628,Krisda,Krogh,9999-01-01
10629,Lalit,Francisci,2001-12-07
10630,Bezalel,Katzenelson,9999-01-01
10631,Inderjeet,Chaudhuri,9999-01-01
10634,Nahid,Chepyzhov,9999-01-01
10636,Saeko,Porotnikoff,9999-01-01
10637,Heejo,Frolund,2000-01-19
10639,Pramod,Erol,9999-01-01
10641,Guozhong,Zucker,9999-01-01
10642,Hirochika,Narlikar,9999-01-01
10653,Otmar,Feinberg,9999-01-01
10667,Makato,Cusworth,9999-01-01
10671,Parviz,Rebaine,9999-01-01
10672,Bluma,Zeilberger,1996-04-19
10676,Valeri,Danley,9999-01-01
10683,Guiseppe,Stranks,9999-01-01
10693,Berhard,Daescu,9999-01-01
10694,Rildo,Straney,2001-07-11
10696,Unal,Fendler,9999-01-01
10702,Bader,Szemeredi,9999-01-01
10712,Uma,Koprowski,9999-01-01
10718,Adib,Rullman,9999-01-01
10726,Zita,Minakawa,9999-01-01
10731,Fumitaka,Peak,2000-10-09
10734,Sachar,Erdi,9999-01-01
10741,Sven,Huttel,9999-01-01
10742,Shim,Wiegley,9999-01-01
10745,Poorav,Ranze,9999-01-01
10747,Falguni,Khalid,1999-09-20
10749,King,Brendel,9999-01-01
10750,Roddy,Demeyer,9999-01-01
10751,Jordanka,Ushiama,2000-12-05
10764,Yunming,Beetstra,9999-01-01
10767,Monique,Doering,9999-01-01
10768,Ishfaq,Candan,9999-01-01
10777,Mizuhito,Kemmerer,2001-03-27
10778,Selwyn,Merey,9999-01-01
10780,Goncalo,Staudhammer,1996-08-18
10782,Kish,Perna,2002-03-30
10791,Tadahiko,Sgarro,9999-01-01
10795,Supot,Naudin,9999-01-01
10801,Uinam,Zschoche,2001-01-15
10803,Katsuyuki,Velasco,2002-04-02
10808,Chenxi,Leijenhorst,9999-01-01
10811,Ashish,Fortenbacher,9999-01-01
10813,Shalesh,Shumilov,9999-01-01
10814,Nidapan,Dymetman,9999-01-01
10826,Arnd,Anandan,9999-01-01
10827,Willard,Danley,9999-01-01
10829,Alper,Narahara,1993-11-29
10830,Fen,Fiebach,9999-01-01
10831,Toong,Driscoll,9999-01-01
10833,Krisda,Gecseg,9999-01-01
10834,Huiqun,Rajcani,9999-01-01
10835,Tomoyuki,Kermarrec,9999-01-01
10836,Jianhua,Leivant,9999-01-01
10844,Dipayan,Koprowski,9999-01-01
10846,Tokuyasu,Serre,9999-01-01
10847,Theirry,Danley,9999-01-01
10848,Fen,Bratsberg,9999-01-01
10849,Makato,Mayerwieser,9999-01-01
10854,Jagoda,Nannarelli,9999-01-01
10858,Kenroku,Gonthier,9999-01-01
10867,Billur,Gyorkos,2002-03-22
10871,Aram,Gilg,9999-01-01
10872,Karoline,Speel,9999-01-01
10873,Sukumar,Wegerle,9999-01-01
10876,Vincent,Papastamatiou,1999-09-14
10878,Lakshmi,Deville,9999-01-01
10879,Muzhong,Chleq,9999-01-01
10882,Fun,Heuser,9999-01-01
10883,Shimshon,Champarnaud,9999-01-01
10885,Rayond,Cronau,9999-01-01
10887,Lunjin,DeMori,9999-01-01
10895,Vishwani,Petersohn,1987-04-13
10900,Ferdinand,Prenel,9999-01-01
10906,Munehiro,Carrere,9999-01-01
10909,Georgi,Atchley,9999-01-01
10912,Oscal,Fasbender,1999-09-26
10913,Narain,Thummel,9999-01-01
10918,Susumu,Reghbati,1990-10-10
10920,Ronghao,Narahara,9999-01-01
10921,Mara,Bahi,9999-01-01
10922,Kyoichi,Wossner,1999-01-16
10924,Hironoby,Atchley,9999-01-01
10926,Leni,Eppinger,9999-01-01
10927,Gal,Scallan,9999-01-01
10930,Arch,Minakawa,9999-01-01
10932,Avishai,Picci,9999-01-01
10936,Mountaz,Schicker,9999-01-01
10940,Aleksander,Fioravanti,1999-12-02
10942,Toshimitsu,Larfeldt,9999-01-01
10943,Berna,Skafidas,9999-01-01
10944,Remko,Zyda,9999-01-01
10947,Gor,Usery,9999-01-01
10948,Shigehito,Brodie,1997-06-23
10949,Shigeichiro,Wroclawski,9999-01-01
10956,Arno,Picel,9999-01-01
10965,Eckart,Braunschweig,9999-01-01
10969,Premal,Noriega,9999-01-01
10971,Isamu,Vadhan,1998-10-24
10974,Muneo,Papsdorf,9999-01-01
10985,Chiradeep,Furedi,1999-03-10
10986,Masako,Schiper,9999-01-01
10987,Flemming,Baezner,9999-01-01
10988,Chinya,Deyuan,9999-01-01
10989,Sumali,Candan,9999-01-01
10990,Shin,Foote,9999-01-01
10996,Matk,Rahimi,9999-01-01
11002,Bluma,Ulupinar,2001-12-07
11004,JoAnna,Decleir,9999-01-01
11009,Alper,Axelband,9999-01-01
11012,Taegyun,Speckmann,9999-01-01
11019,Leon,Huttel,9999-01-01
11021,Srinidhi,Henders,9999-01-01
11024,Manton,Collavizza,2001-05-18
11027,Remzi,Cappello,9999-01-01
11028,Miyeon,Krider,1997-09-04
11031,Ottavia,Walstra,9999-01-01
11032,Erez,Schaaf,9999-01-01
11037,Lansing,Maliniak,9999-01-01
11038,Jinya,Beidas,9999-01-01
11042,Gou,Breugel,9999-01-01
11048,Jaques,Demke,9999-01-01
11050,Elvis,Katiyar,9999-01-01
11051,Przemyslawa,Erol,9999-01-01
11056,Palash,Speel,9999-01-01
11060,Genevieve,Pokrovskii,1991-09-27
11061,Pintsang,Erni,9999-01-01
11064,Shawna,Vieri,9999-01-01
11066,Shaz,Langford,9999-01-01
11070,Adib,Raney,9999-01-01
11071,Kwan,Sigstam,9999-01-01
11075,Karsten,Belinskaya,9999-01-01
11077,Hideyuki,Merro,1998-10-11
11079,Piyush,Garigliano,9999-01-01
11081,Barry,Boyle,9999-01-01
11083,Shimshon,Ducloy,9999-01-01
11084,Greger,Senzako,9999-01-01
11085,Hailing,Thummel,9999-01-01
11087,Changho,Jayawardene,9999-01-01
11089,Conal,Henders,9999-01-01
11091,Souichi,Ramsay,9999-01-01
11092,Narain,Stamatiou,9999-01-01
11098,Arnd,Covnot,9999-01-01
11100,Berna,Cochrane,9999-01-01
11106,Aris,Iwayama,9999-01-01
11110,Valeska,Birjandi,1992-03-30
11111,Udi,Zastre,9999-01-01
11112,Boaz,Mukaidono,9999-01-01
11113,Shahab,Peng,9999-01-01
11114,Tse,Felcyn,1999-06-22
11119,Ramzi,Luga,1995-10-23
11121,Vugranam,Kakkad,9999-01-01
11130,Xinyu,Menhoudj,9999-01-01
11132,Kristin,Harnett,9999-01-01
11133,Nalini,Azulay,9999-01-01
11134,Sachar,Rajcani,9999-01-01
11137,Hugh,Luca,9999-01-01
11139,Bogdan,Homond,9999-01-01
11143,Yongdong,Rosen,9999-01-01
11144,Carrsten,Heinisuo,9999-01-01
11145,Jinxi,Baak,1999-05-24
11146,Ishfaq,Masand,9999-01-01
11147,Ayonca,Nitsch,9999-01-01
11148,Zhanqiu,Botman,9999-01-01
11156,Tomoyuki,Armand,1998-07-31
11158,Masaki,Hagimont,9999-01-01
11162,Kauko,Narlikar,9999-01-01
11168,Shmuel,Tetzlaff,9999-01-01
11170,Minghong,Cannard,9999-01-01
11174,Akhilish,Milicia,9999-01-01
11177,Chrisa,dAstous,9999-01-01
11180,Mitsuyuki,Bojadziev,9999-01-01
11181,Hausi,Cullers,9999-01-01
11185,Aloys,Baezner,9999-01-01
11186,Kshitij,Stasinski,9999-01-01
11189,Dante,Bodoff,9999-01-01
11192,Apostol,Bahr,9999-01-01
11195,Masanao,Lovengreen,1999-05-16
11197,Tadahiro,Fordan,9999-01-01
11201,Jouko,Masaki,9999-01-01
11203,Sakthirel,Yetto,1996-06-15
11204,Diederik,Covnot,9999-01-01
11206,Steen,Sury,2000-05-04
11207,Saeed,Gips,9999-01-01
11208,Saniya,Valtorta,9999-01-01
11211,Yurij,Rissland,9999-01-01
11213,Vugranam,Munoz,9999-01-01
11217,Kellie,Mawatari,9999-01-01
11218,Kirk,Hemaspaandra,2002-04-19
11221,Alselm,Hammerschmidt,1995-03-13
11229,Gretta,Ramamoorthy,9999-01-01
11232,Hidefumi,Crelier,9999-01-01
11233,Sanjit,Waschkowski,9999-01-01
11240,Kiam,Condotta,9999-01-01
11243,Udi,Desikan,9999-01-01
11249,Randi,Cyre,9999-01-01
11251,Bezalel,Chinal,9999-01-01
11253,Koldo,Pokrovskii,9999-01-01
11254,Danel,Rindone,9999-01-01
11258,Aris,Maccarone,9999-01-01
11266,Florina,Rohrbach,9999-01-01
11267,Shaunak,Zaumen,9999-01-01
11268,Aimee,Petersohn,9999-01-01
11274,Masanao,Nicolson,9999-01-01
11275,Hitomi,Eppinger,9999-01-01
11288,Domenico,Eastman,1997-09-28
11289,Chuanti,Cherinka,9999-01-01
11290,Visit,Dredge,9999-01-01
11291,Gino,Glowinski,2001-04-15
11292,Souichi,Sichman,9999-01-01
11294,Tru,Segond,9999-01-01
11295,Abdelkader,Lanzelotte,9999-01-01
11296,Hironobu,Kenevan,9999-01-01
11297,Geraldo,Levergood,1991-02-22
11300,Lillian,Fontet,1996-12-20
11301,Mingzeng,Oxenboll,9999-01-01
11302,Shem,Senzako,1993-01-29
11315,Neven,Meriste,2002-01-17
11317,Shigeaki,Hagimont,9999-01-01
11319,Pranas,Marrakchi,9999-01-01
11320,Atilio,McAlpine,9999-01-01
11322,Nathalie,Pocchiola,9999-01-01
11324,Kauko,Billingsley,9999-01-01
11325,Samphel,Rossi,9999-01-01
11326,Munenori,Plesums,9999-01-01
11338,Kwangsub,Hanratty,9999-01-01
11339,Flemming,Massonet,9999-01-01
11340,Aris,Bala,9999-01-01
11343,Susanne,Erez,9999-01-01
11347,Anneli,Jonsson,9999-01-01
11349,Yurii,Hammerschmidt,9999-01-01
11360,Fen,Schach,9999-01-01
11365,Toshimi,Shinomoto,9999-01-01
11372,Susanta,Vilarrasa,2000-05-04
11373,Yongmao,Keohane,9999-01-01
11376,Valery,Suomi,9999-01-01
11380,Kenroku,Pelc,9999-01-01
11385,Shiv,Ullian,9999-01-01
11386,Alselm,Assaf,9999-01-01
11387,Jordanka,Kalloufi,1997-12-13
11393,Junsik,Junot,9999-01-01
11396,Anneke,Servieres,9999-01-01
11398,Oscar,Peir,9999-01-01
11401,Huan,Merey,9999-01-01
11404,Bedrich,Borovoy,9999-01-01
11406,Eberhardt,Gini,9999-01-01
11410,Gro,Vendrig,9999-01-01
11414,Eishiro,Pearson,1997-10-06
11415,Sanjiv,Anido,9999-01-01
11417,Anneli,Cyne,9999-01-01
11418,Satosi,Cooley,9999-01-01
11420,Tsutomu,Lalonde,9999-01-01
11421,Josyula,Msuda,9999-01-01
11423,Guangming,Kopetz,9999-01-01
11425,Renee,Crelier,9999-01-01
11428,Remco,Reinhart,1998-07-04
11431,Youngkon,Picht,2001-03-03
11441,Marlo,Aingworth,9999-01-01
11446,Naftali,Narahara,9999-01-01
11449,Kotesh,Asser,9999-01-01
11451,Eben,Rajaraman,9999-01-01
11452,Shigehito,Luby,9999-01-01
11459,Duke,Suomi,9999-01-01
11460,Mana,Maraist,9999-01-01
11461,Kish,Cronau,1997-07-20
11468,Navin,Maksimenko,1997-04-07
11469,Guttorm,Giaccio,9999-01-01
11474,Gennady,Akazan,9999-01-01
11476,Manton,Yoshizawa,9999-01-01
11477,Fox,Narahari,1996-09-12
11479,Shridhar,Pleszkun,9999-01-01
11501,Karsten,Ranum,2002-03-20
11503,Nathan,Picht,9999-01-01
11506,Rance,Picel,9999-01-01
11509,Aleksander,Feldhoffer,9999-01-01
11513,Otmar,Mahnke,9999-01-01
11515,Ulf,Basawa,9999-01-01
11518,Jinxi,Oxman,9999-01-01
11519,Halsur,Chinen,9999-01-01
11521,Eldridge,Eastman,2000-06-08
11523,Yuguang,Pezzoli,9999-01-01
11524,Xiadong,Standera,9999-01-01
11526,Tonny,Impagliazzo,1998-11-28
11527,Alagu,Boyle,9999-01-01
11528,Zito,Dolinsky,9999-01-01
11531,Radhika,Motley,9999-01-01
11533,Vitaly,Lorch,9999-01-01
11537,DAIDA,Pehl,9999-01-01
11540,Chanjung,Portugali,9999-01-01
11554,Subhash,Taubenfeld,9999-01-01
11555,Kotesh,Perfilyeva,9999-01-01
11562,Rimli,Alencar,1994-12-13
11567,Teiji,Mitzlaff,9999-01-01
11568,Martins,Fujisaki,9999-01-01
11573,Pranas,Hutton,9999-01-01
11575,Godehard,Plotkin,9999-01-01
11577,Mayumi,Deyuan,9999-01-01
11578,Edwin,Rosti,2002-02-17
11581,Patricio,Rosenbaum,9999-01-01
11587,Shem,Zambonelli,9999-01-01
11588,Kaijung,Panangaden,1995-06-12
11589,Gina,Plessier,9999-01-01
11595,Takanari,Kamber,9999-01-01
11596,Yannik,Gunderson,9999-01-01
11597,Yongdong,Talmon,1998-12-07
11602,Somnath,Malabarba,9999-01-01
11603,Herb,Swen,9999-01-01
11606,Perry,Pepe,9999-01-01
11607,Tomokazu,Foong,9999-01-01
11615,Shem,Isaak,9999-01-01
11616,Zhilian,Brendel,9999-01-01
11624,Adil,Gammage,9999-01-01
11628,Fan,Malinowski,9999-01-01
11636,Fumitaka,Shiratori,1998-01-01
11640,Valeri,Coorg,9999-01-01
11641,Chikako,Rothenberg,9999-01-01
11644,Sanjit,Zaiane,9999-01-01
11646,Lobel,Rubsam,9999-01-01
11647,Magy,Nitsche,9999-01-01
11649,Shen,Bernardinello,9999-01-01
11660,Gill,Stenning,9999-01-01
11664,Oksana,Brizzi,9999-01-01
11667,Kristian,Marchegay,9999-01-01
11673,Henk,Felder,9999-01-01
11676,Valeri,Ferriere,9999-01-01
11681,Fumitake,Benzmuller,9999-01-01
11684,Oksana,Gide,9999-01-01
11686,Nadjib,Srimani,2000-07-22
11690,Domenick,Raczkowsky,9999-01-01
11693,Hideo,Coorg,9999-01-01
11696,Dante,Rothe,9999-01-01
11705,Arve,Hofmeyr,1994-06-30
11708,Chenye,Angot,1996-07-28
11713,Danel,Heusch,9999-01-01
11732,Sanjoy,Ranft,9999-01-01
11733,Leszek,Sudbeck,9999-01-01
11735,Amalendu,Picci,9999-01-01
11736,Shugo,Uchoa,9999-01-01
11737,Martina,Garnier,9999-01-01
11738,Tadahiro,Lichtman,1995-06-27
11746,Koichi,Marrakchi,9999-01-01
11747,Aksel,Kossowski,1999-01-16
11748,Lihong,Massonet,9999-01-01
11751,Jiafu,Emiris,9999-01-01
11755,Zhenbing,Karner,2002-01-08
11756,Abdelwaheb,Vakili,9999-01-01
11763,Yuriy,Liesche,9999-01-01
11764,Sanjay,Anick,9999-01-01
11765,Zorica,Junet,9999-01-01
11769,Chandrasekaran,Lampe,9999-01-01
11770,Arumugam,Jakobus,9999-01-01
11772,Gaurav,Penz,9999-01-01
11774,Aron,Wroclawski,9999-01-01
11778,Dhritiman,Fontan,9999-01-01
11779,Shunichi,Thombley,9999-01-01
11791,Gal,Mamelak,9999-01-01
11797,Chenxi,Thambidurai,9999-01-01
11801,Tommaso,Dayang,9999-01-01
11805,Rosine,Grandbois,1991-02-05
11807,Chriss,Binding,9999-01-01
11810,Amabile,Bhattacharjee,9999-01-01
11811,Herb,Boissier,9999-01-01
11813,Gita,Muhlberg,1991-07-20
11814,Manohar,Shinomoto,1998-10-24
11817,Niranjan,Markovitch,9999-01-01
11821,Mary,Piazza,2001-10-26
11822,Sastry,Madeira,9999-01-01
11823,Weiyi,Iacovou,9999-01-01
11829,Chaosheng,Pettis,9999-01-01
11832,Arto,Zlotek,9999-01-01
11836,Ortrud,Bakhtari,9999-01-01
11838,Taiji,Nitta,1991-05-09
11841,Elvia,Bugrara,9999-01-01
11842,Moto,Piazza,9999-01-01
11844,Shawna,Demeyer,9999-01-01
11846,Fai,Perly,9999-01-01
11847,Tzvetan,Brandsma,1999-05-23
11853,Zeljko,Kusakabe,9999-01-01
11857,Divier,Farrag,9999-01-01
11862,Alejandra,Deville,9999-01-01
11864,Pradeep,Kriebel,9999-01-01
11868,Kwee,Demke,9999-01-01
11869,Fumino,Luca,9999-01-01
11871,Nalini,Sommen,9999-01-01
11872,Cheong,Riexinger,9999-01-01
11876,Leszek,Kobuchi,9999-01-01
11877,Heng,Sudkamp,1999-06-09
11881,Arra,Staelin,9999-01-01
11883,Nectarios,Bhattacharjee,1990-10-28
11888,Badri,Azulay,9999-01-01
11894,Mitchel,Validov,9999-01-01
11896,Shaunak,Benzmuller,9999-01-01
11897,Cordelia,Setlzner,9999-01-01
11906,Hideo,Boguraev,9999-01-01
11911,Ashish,Mondadori,9999-01-01
11915,Miomir,Mawatari,9999-01-01
11917,Jiakeng,VanScheik,9999-01-01
11926,Leni,Felcyn,9999-01-01
11931,Gunilla,Chiodo,9999-01-01
11933,Basil,Erman,9999-01-01
11938,Aruna,Verspoor,9999-01-01
11939,Chinhyun,Basart,1993-10-29
11940,Ult,Anido,9999-01-01
11944,Along,Aumann,9999-01-01
11945,Limsoon,Marakhovsky,9999-01-01
11948,Yahiko,Nergos,9999-01-01
11949,Martijn,Harbusch,9999-01-01
11951,Bernt,Haumacher,9999-01-01
11965,Arup,Morrey,9999-01-01
11972,Sibyl,Beausoleil,9999-01-01
11980,Yechezkel,Pews,9999-01-01
11983,Jaana,Hedayat,9999-01-01
11987,Vidya,Schaar,1997-12-04
11988,Chinya,Chinin,2001-12-31
11989,Erzsebet,Peltason,9999-01-01
11993,Marit,Dalphin,9999-01-01
11994,Sigeru,Fiebach,9999-01-01
11997,Heon,Mawatari,1999-08-06
12007,Marko,Dehkordi,9999-01-01
12008,Frederique,Zykh,1993-03-24
12011,Zhilian,Coorg,9999-01-01
12015,Kensei,Guenter,9999-01-01
12021,Chikara,Rahimi,9999-01-01
12023,Chuanyi,Eppinger,9999-01-01
12024,Mayumi,Lanzelotte,9999-01-01
12025,Jaewoo,Heiserman,1990-06-09
12028,Ingemar,Walstra,9999-01-01
12030,Shuky,Cromarty,9999-01-01
12033,Visit,Serot,1999-02-07
12034,Aemilian,Piazza,9999-01-01
12036,Mads,Ratzlaff,9999-01-01
12037,Arunas,Katzenelson,9999-01-01
12040,Bluma,Kermarrec,9999-01-01
12043,Masaki,Lubachevsky,9999-01-01
12044,Rance,Hemaspaandra,9999-01-01
12047,Jordanka,Ligten,9999-01-01
12050,Yuchang,Tchuente,9999-01-01
12052,Masako,Khasidashvili,1988-08-29
12053,Yechezkel,Pelc,9999-01-01
12054,Odysseas,Braccini,9999-01-01
12055,Rutger,Kilgore,1995-06-16
12060,Toshimi,Antonakopoulos,9999-01-01
12062,Margareta,Worfolk,9999-01-01
12063,Lein,Bale,9999-01-01
12069,Ayonca,Burnard,9999-01-01
12070,Ger,Shokrollahi,9999-01-01
12076,Karlis,Siprelle,9999-01-01
12077,Steve,Hutton,2000-08-18
12080,Panayotis,Feinberg,9999-01-01
12082,Xinan,Yamaashi,9999-01-01
12087,Weijing,Jumpertz,1993-03-24
12089,Bilhanan,Socorro,9999-01-01
12090,Shigenori,Angelopoulos,9999-01-01
12091,Lansing,Cunliffe,9999-01-01
12092,Kauko,Unno,9999-01-01
12093,Evgueni,Oxenboll,9999-01-01
12094,Weiru,Pearson,9999-01-01
12095,Fai,Smeets,2001-11-07
12099,Nobuyoshi,Kuzuoka,9999-01-01
12102,Aron,Erde,9999-01-01
12103,Becky,Erie,1992-09-18
12104,Dulce,Kohling,2002-02-08
12112,Satyanarayana,Avouris,9999-01-01
12114,Shiv,Rubsam,9999-01-01
12122,Satoru,Krone,9999-01-01
12123,Xiahua,Syrzycki,9999-01-01
12125,Shounak,Erman,9999-01-01
12128,Yannik,Barreiro,1998-11-25
12138,Takahito,Brender,9999-01-01
12140,Xudong,Paciorek,9999-01-01
12148,Hidde,Garigliano,1997-11-21
12149,Suebskul,Grandbois,9999-01-01
12159,Shem,Perly,9999-01-01
12160,Aamer,Garrabrants,9999-01-01
12164,Muneo,Chachaty,9999-01-01
12165,Xiaobin,Maquelin,9999-01-01
12168,Arnd,Salverda,9999-01-01
12172,Jianhua,Llado,9999-01-01
12173,Adel,Nanard,2000-05-20
12174,Slavian,Plavsic,9999-01-01
12183,Harngdar,Iisaku,9999-01-01
12186,Guther,Nooteboom,9999-01-01
12190,Abdulah,Engberts,9999-01-01
12191,Rosella,Bazzichi,9999-01-01
12192,Feiyu,Klyachko,9999-01-01
12205,Sushant,Rossi,9999-01-01
12206,Barton,Janetzko,9999-01-01
12210,Vugranam,Ashish,9999-01-01
12213,Kwangho,Brizzi,9999-01-01
12216,Aloke,Mansanne,9999-01-01
12218,Yaghout,Strooper,9999-01-01
12219,Junsik,Gadepally,9999-01-01
12221,Vincent,Melter,9999-01-01
12222,Abdelwaheb,Holburn,9999-01-01
